hop 0: m11 t=182.895 -> 181.734 best=182.095 fresh=True
hop 1: m11 t=182.534 -> 181.734 best=181.734 fresh=False
hop 1: m17 t=182.535 -> 181.733 best=181.734 fresh=True
hop 2: m11 t=182.534 -> 181.733 best=181.733 fresh=True
hop 2: m17 t=182.535 -> 181.733 best=181.733 fresh=True
hop 2: m17 t=182.536 -> 181.733 best=181.733 fresh=True
hop 2: m17 t=182.537 -> 181.733 best=181.733 fresh=True
hop 2: m17 t=182.538 -> 181.733 best=181.733 fresh=True
hop 2: m17 t=182.539 -> 181.733 best=181.733 fresh=True
hop 2: m17 t=182.540 -> 181.733 best=181.733 fresh=True
hop 2: m17 t=182.541 -> 181.733 best=181.733 fresh=True
seed12 START: 182.095 BEST: 181.733 YIELD: 0.362
