hop 0: m11 t=204.008 -> 202.501 best=203.208 fresh=True
hop 1: m11 t=203.301 -> 202.501 best=202.501 fresh=False
hop 1: m17 t=203.302 -> 200.119 best=202.501 fresh=True
hop 2: m11 t=200.920 -> 200.119 best=200.119 fresh=False
hop 2: m17 t=200.921 -> 197.519 best=200.119 fresh=True
hop 3: m11 t=198.321 -> 197.519 best=197.519 fresh=False
hop 3: m17 t=198.322 -> 195.733 best=197.519 fresh=True
hop 4: m11 t=196.536 -> 195.733 best=195.733 fresh=False
hop 4: m17 t=196.537 -> 195.733 best=195.733 fresh=False
hop 4: m17 t=196.538 -> 195.733 best=195.733 fresh=False
hop 4: m17 t=196.539 -> 195.733 best=195.733 fresh=False
hop 4: m17 t=196.540 -> 195.733 best=195.733 fresh=True
hop 4: m17 t=196.541 -> 195.733 best=195.733 fresh=True
hop 4: m17 t=196.542 -> 191.967 best=195.733 fresh=True
hop 5: m11 t=192.776 -> 191.967 best=191.967 fresh=False
hop 5: m17 t=192.777 -> 191.967 best=191.967 fresh=True
hop 5: m17 t=192.778 -> 191.967 best=191.967 fresh=True
hop 5: m17 t=192.779 -> 191.967 best=191.967 fresh=True
hop 5: m17 t=192.780 -> 191.572 best=191.967 fresh=True
hop 6: m11 t=192.385 -> 191.572 best=191.572 fresh=False
hop 6: m17 t=192.386 -> 191.572 best=191.572 fresh=False
hop 6: m17 t=192.387 -> 191.572 best=191.572 fresh=True
hop 6: m17 t=192.388 -> 191.572 best=191.572 fresh=False
hop 6: m17 t=192.389 -> 191.572 best=191.572 fresh=True
hop 6: m17 t=192.390 -> 191.572 best=191.572 fresh=False
hop 6: m17 t=192.391 -> 191.572 best=191.572 fresh=False
hop 6: m17 t=192.392 -> 191.572 best=191.572 fresh=False
hop 6: m17 t=192.393 -> 191.572 best=191.572 fresh=True
hop 6: m17 t=192.394 -> 191.572 best=191.572 fresh=False
CONSTRUCTED START: 203.208 BEST: 191.572 YIELD: 11.636
