hop 0: m11 t=206.913 -> 206.037 best=206.113 fresh=True
hop 1: m11 t=206.837 -> 206.037 best=206.037 fresh=False
hop 1: m17 t=206.838 -> 204.592 best=206.037 fresh=True
hop 2: m11 t=205.393 -> 204.592 best=204.592 fresh=True
hop 2: m17 t=205.394 -> 204.592 best=204.592 fresh=True
hop 2: m17 t=205.395 -> 201.122 best=204.592 fresh=True
hop 3: m11 t=201.925 -> 201.122 best=201.122 fresh=False
hop 3: m17 t=201.926 -> 201.122 best=201.122 fresh=False
hop 3: m17 t=201.927 -> 201.122 best=201.122 fresh=False
hop 3: m17 t=201.928 -> 201.122 best=201.122 fresh=False
hop 3: m17 t=201.929 -> 201.122 best=201.122 fresh=False
hop 3: m17 t=201.930 -> 201.122 best=201.122 fresh=False
hop 3: m17 t=201.931 -> 201.122 best=201.122 fresh=True
hop 3: m17 t=201.932 -> 201.122 best=201.122 fresh=False
hop 3: m17 t=201.933 -> 201.122 best=201.122 fresh=False
hop 3: m17 t=201.934 -> 201.122 best=201.122 fresh=True
CONSTRUCTED START: 206.113 BEST: 201.122 YIELD: 4.991
