hop 0: m11 t=216.433 -> 215.530 best=215.633 fresh=True
hop 1: m11 t=216.330 -> 215.530 best=215.530 fresh=False
hop 1: m17 t=216.331 -> 215.434 best=215.530 fresh=True
hop 2: m11 t=216.235 -> 215.434 best=215.434 fresh=True
hop 2: m17 t=216.236 -> 215.434 best=215.434 fresh=True
hop 2: m17 t=216.237 -> 215.434 best=215.434 fresh=True
hop 2: m17 t=216.238 -> 215.434 best=215.434 fresh=True
hop 2: m17 t=216.239 -> 215.434 best=215.434 fresh=True
hop 2: m17 t=216.240 -> 208.256 best=215.434 fresh=True
hop 3: m11 t=209.062 -> 208.256 best=208.256 fresh=False
hop 3: m17 t=209.063 -> 203.716 best=208.256 fresh=True
hop 4: m11 t=204.523 -> 203.716 best=203.716 fresh=False
hop 4: m17 t=204.524 -> 203.716 best=203.716 fresh=True
hop 4: m17 t=204.525 -> 200.493 best=203.716 fresh=True
hop 5: m11 t=201.302 -> 200.493 best=200.493 fresh=False
hop 5: m17 t=201.303 -> 199.411 best=200.493 fresh=True
hop 6: m11 t=200.221 -> 199.411 best=199.411 fresh=False
hop 6: m17 t=200.222 -> 199.411 best=199.411 fresh=True
hop 6: m17 t=200.223 -> 199.411 best=199.411 fresh=True
hop 6: m17 t=200.224 -> 199.411 best=199.411 fresh=True
hop 6: m17 t=200.225 -> 195.367 best=199.411 fresh=True
hop 7: m11 t=196.181 -> 195.367 best=195.367 fresh=False
hop 7: m17 t=196.182 -> 195.367 best=195.367 fresh=False
hop 7: m17 t=196.183 -> 194.580 best=195.367 fresh=True
hop 8: m11 t=195.396 -> 194.580 best=194.580 fresh=True
hop 8: m17 t=195.397 -> 194.580 best=194.580 fresh=True
hop 8: m17 t=195.398 -> 194.580 best=194.580 fresh=True
hop 8: m17 t=195.399 -> 194.580 best=194.580 fresh=True
hop 8: m17 t=195.400 -> 194.580 best=194.580 fresh=True
hop 8: m17 t=195.401 -> 194.580 best=194.580 fresh=True
hop 8: m17 t=195.402 -> 194.580 best=194.580 fresh=True
hop 8: m17 t=195.403 -> 194.580 best=194.580 fresh=True
hop 8: m17 t=195.404 -> 194.580 best=194.580 fresh=True
hop 8: m17 t=195.405 -> 194.580 best=194.580 fresh=True
CONSTRUCTED START: 215.633 BEST: 194.580 YIELD: 21.053
