hop 0: m11 t=215.051 -> 214.157 best=214.251 fresh=True
hop 1: m11 t=214.957 -> 214.157 best=214.157 fresh=False
hop 1: m17 t=214.958 -> 213.969 best=214.157 fresh=True
hop 2: m11 t=214.770 -> 213.969 best=213.969 fresh=True
hop 2: m17 t=214.771 -> 213.969 best=213.969 fresh=True
hop 2: m17 t=214.772 -> 213.969 best=213.969 fresh=True
hop 2: m17 t=214.773 -> 199.237 best=213.969 fresh=True
hop 3: m11 t=200.041 -> 199.237 best=199.237 fresh=True
hop 3: m17 t=200.042 -> 196.954 best=199.237 fresh=True
hop 4: m11 t=197.759 -> 196.954 best=196.954 fresh=False
hop 4: m17 t=197.760 -> 192.893 best=196.954 fresh=True
hop 5: m11 t=193.699 -> 192.893 best=192.893 fresh=False
hop 5: m17 t=193.700 -> 191.738 best=192.893 fresh=True
hop 6: m11 t=192.545 -> 191.738 best=191.738 fresh=True
hop 6: m17 t=192.546 -> 191.738 best=191.738 fresh=True
hop 6: m17 t=192.547 -> 191.738 best=191.738 fresh=True
hop 6: m17 t=192.548 -> 190.737 best=191.738 fresh=True
hop 7: m11 t=191.547 -> 190.737 best=190.737 fresh=True
hop 7: m17 t=191.548 -> 190.737 best=190.737 fresh=True
hop 7: m17 t=191.549 -> 190.737 best=190.737 fresh=True
hop 7: m17 t=191.550 -> 190.737 best=190.737 fresh=True
hop 7: m17 t=191.551 -> 190.737 best=190.737 fresh=True
hop 7: m17 t=191.552 -> 190.737 best=190.737 fresh=True
hop 7: m17 t=191.553 -> 190.737 best=190.737 fresh=True
hop 7: m17 t=191.554 -> 190.737 best=190.737 fresh=True
hop 7: m17 t=191.555 -> 190.737 best=190.737 fresh=True
hop 7: m17 t=191.556 -> 190.737 best=190.737 fresh=True
CONSTRUCTED START: 214.251 BEST: 190.737 YIELD: 23.514
