hop 0: m11 t=216.100 -> 215.282 best=215.300 fresh=True
hop 1: m11 t=216.082 -> 215.282 best=215.282 fresh=False
hop 1: m17 t=216.083 -> 205.908 best=215.282 fresh=True
hop 2: m11 t=206.709 -> 205.908 best=205.908 fresh=True
hop 2: m17 t=206.710 -> 203.353 best=205.908 fresh=True
hop 3: m11 t=204.155 -> 202.796 best=203.353 fresh=True
hop 4: m11 t=203.598 -> 202.502 best=202.796 fresh=True
hop 5: m11 t=203.304 -> 202.502 best=202.502 fresh=False
hop 5: m17 t=203.305 -> 202.502 best=202.502 fresh=True
hop 5: m17 t=203.306 -> 202.502 best=202.502 fresh=True
hop 5: m17 t=203.307 -> 202.502 best=202.502 fresh=True
hop 5: m17 t=203.308 -> 202.502 best=202.502 fresh=True
hop 5: m17 t=203.309 -> 202.502 best=202.502 fresh=True
hop 5: m17 t=203.310 -> 202.502 best=202.502 fresh=True
hop 5: m17 t=203.311 -> 202.502 best=202.502 fresh=True
hop 5: m17 t=203.312 -> 202.502 best=202.502 fresh=True
hop 5: m17 t=203.313 -> 202.502 best=202.502 fresh=True
CONSTRUCTED START: 215.300 BEST: 202.502 YIELD: 12.798
