hop 0: m11 t=212.097 -> 208.889 best=211.297 fresh=True
hop 1: m11 t=209.689 -> 208.889 best=208.889 fresh=False
hop 1: m17 t=209.690 -> 202.381 best=208.889 fresh=True
hop 2: m11 t=203.182 -> 202.381 best=202.381 fresh=True
hop 2: m17 t=203.183 -> 202.381 best=202.381 fresh=True
hop 2: m17 t=203.184 -> 202.381 best=202.381 fresh=True
hop 2: m17 t=203.185 -> 202.381 best=202.381 fresh=True
hop 2: m17 t=203.186 -> 202.381 best=202.381 fresh=True
hop 2: m17 t=203.187 -> 202.381 best=202.381 fresh=True
hop 2: m17 t=203.188 -> 202.381 best=202.381 fresh=True
hop 2: m17 t=203.189 -> 202.381 best=202.381 fresh=True
hop 2: m17 t=203.190 -> 202.381 best=202.381 fresh=True
hop 2: m17 t=203.191 -> 202.381 best=202.381 fresh=True
CONSTRUCTED START: 211.297 BEST: 202.381 YIELD: 8.916
