hop 0: m11 t=203.075 -> 202.102 best=202.275 fresh=True
hop 1: m11 t=202.902 -> 202.102 best=202.102 fresh=False
hop 1: m17 t=202.903 -> 190.484 best=202.102 fresh=True
hop 2: m11 t=191.285 -> 190.484 best=190.484 fresh=False
hop 2: m17 t=191.286 -> 190.484 best=190.484 fresh=True
hop 2: m17 t=191.287 -> 190.484 best=190.484 fresh=True
hop 2: m17 t=191.288 -> 190.484 best=190.484 fresh=True
hop 2: m17 t=191.289 -> 190.484 best=190.484 fresh=True
hop 2: m17 t=191.290 -> 190.182 best=190.484 fresh=True
hop 3: m11 t=190.988 -> 190.182 best=190.182 fresh=True
hop 3: m17 t=190.989 -> 190.182 best=190.182 fresh=True
hop 3: m17 t=190.990 -> 190.182 best=190.182 fresh=True
hop 3: m17 t=190.991 -> 190.010 best=190.182 fresh=True
hop 4: m11 t=190.819 -> 190.010 best=190.010 fresh=True
hop 4: m17 t=190.820 -> 190.010 best=190.010 fresh=True
hop 4: m17 t=190.821 -> 190.010 best=190.010 fresh=True
hop 4: m17 t=190.822 -> 190.010 best=190.010 fresh=True
hop 4: m17 t=190.823 -> 190.010 best=190.010 fresh=True
hop 4: m17 t=190.824 -> 190.010 best=190.010 fresh=True
hop 4: m17 t=190.825 -> 190.010 best=190.010 fresh=True
hop 4: m17 t=190.826 -> 190.010 best=190.010 fresh=True
hop 4: m17 t=190.827 -> 190.010 best=190.010 fresh=True
hop 4: m17 t=190.828 -> 190.010 best=190.010 fresh=True
CONSTRUCTED START: 202.275 BEST: 190.010 YIELD: 12.265
