hop 0: 168.275 acc=2 wander=1 frontier=166031
hop 1: 168.275 acc=1 wander=2 frontier=166031
hop 2: 168.275 acc=1 wander=2 frontier=166031
hop 3: 168.275 acc=0 wander=3 frontier=166031
hop 4: 168.275 acc=0 wander=3 frontier=166031
hop 5: 168.275 acc=0 wander=3 frontier=166031
hop 6: 168.275 acc=0 wander=3 frontier=166031
hop 7: 168.275 acc=0 wander=3 frontier=166031
hop 8: 168.275 acc=0 wander=3 frontier=166031
hop 9: 168.275 acc=0 wander=3 frontier=166031
hop 10: 168.275 acc=0 wander=3 frontier=166031
hop 11: 168.275 acc=0 wander=3 frontier=166031
hop 12: 168.275 acc=0 wander=3 frontier=166031
hop 13: 168.275 acc=0 wander=3 frontier=166031
hop 14: 168.275 acc=0 wander=3 frontier=166031
hop 15: 168.275 acc=0 wander=3 frontier=166031
hop 16: 168.275 acc=0 wander=3 frontier=166031
hop 17: 168.275 acc=0 wander=3 frontier=166031
hop 18: 168.275 acc=0 wander=3 frontier=166031
hop 19: 168.275 acc=0 wander=3 frontier=166031
hop 20: 168.275 acc=0 wander=3 frontier=166031
hop 21: 168.275 acc=0 wander=3 frontier=166031
hop 22: 168.275 acc=0 wander=3 frontier=166031
hop 23: 168.275 acc=0 wander=3 frontier=166031
hop 24: 168.275 acc=0 wander=3 frontier=166031
hop 25: 168.275 acc=0 wander=3 frontier=166031
hop 26: 168.275 acc=0 wander=3 frontier=166031
hop 27: 168.275 acc=0 wander=3 frontier=166031
hop 28: 168.275 acc=0 wander=3 frontier=166031
hop 29: 168.275 acc=0 wander=3 frontier=166031
hop 30: 168.275 acc=0 wander=3 frontier=166031
hop 31: 168.275 acc=0 wander=3 frontier=166031
hop 32: 168.275 acc=0 wander=3 frontier=166031
hop 33: 168.275 acc=0 wander=3 frontier=166031
hop 34: 168.275 acc=0 wander=3 frontier=166031
hop 35: 168.275 acc=0 wander=3 frontier=166031
hop 36: 168.275 acc=0 wander=3 frontier=166031
hop 37: 168.275 acc=0 wander=3 frontier=166031
hop 38: 168.275 acc=0 wander=3 frontier=166031
hop 39: 168.275 acc=0 wander=3 frontier=166031
hop 40: 168.275 acc=0 wander=3 frontier=166031
hop 41: 168.275 acc=0 wander=3 frontier=166031
hop 42: 168.275 acc=0 wander=3 frontier=166031
hop 43: 168.275 acc=0 wander=3 frontier=166031
hop 44: 168.275 acc=0 wander=3 frontier=166031
hop 45: 168.275 acc=0 wander=3 frontier=166031
hop 46: 168.275 acc=0 wander=3 frontier=166031
hop 47: 168.275 acc=0 wander=3 frontier=166031
hop 48: 168.275 acc=0 wander=3 frontier=166031
hop 49: 168.275 acc=0 wander=3 frontier=166031
hop 50: 168.275 acc=0 wander=3 frontier=166031
hop 51: 168.275 acc=0 wander=3 frontier=166031
hop 52: 168.275 acc=0 wander=3 frontier=166031
hop 53: 168.275 acc=0 wander=3 frontier=166031
hop 54: 168.275 acc=0 wander=3 frontier=166031
hop 55: 168.275 acc=0 wander=3 frontier=166031
hop 56: 168.275 acc=0 wander=3 frontier=166031
hop 57: 168.275 acc=0 wander=3 frontier=166031
hop 58: 168.275 acc=0 wander=3 frontier=166031
hop 59: 168.275 acc=0 wander=3 frontier=166031
BEST: 168.275
