hop 0: m11 t=178.000 -> 177.011 best=177.205 fresh=True
hop 1: m11 t=178.000 -> 177.011 best=177.011 fresh=True
hop 1: m17 t=178.001 -> 176.591 best=177.011 fresh=True
hop 2: m11 t=178.001 -> 176.591 best=176.591 fresh=True
hop 2: m17 t=178.002 -> 176.591 best=176.591 fresh=True
hop 2: m17 t=178.003 -> 176.591 best=176.591 fresh=True
hop 2: m17 t=178.004 -> 176.591 best=176.591 fresh=True
hop 2: m17 t=178.005 -> 176.591 best=176.591 fresh=True
hop 2: m17 t=178.006 -> 176.591 best=176.591 fresh=True
hop 2: m17 t=178.007 -> 176.591 best=176.591 fresh=True
hop 2: m17 t=178.008 -> 176.591 best=176.591 fresh=True
hop 2: m17 t=178.009 -> 176.591 best=176.591 fresh=True
hop 2: m17 t=178.010 -> 176.591 best=176.591 fresh=True
hop 2: m17 t=178.011 -> 176.591 best=176.591 fresh=True
hop 2: m17 t=178.012 -> 176.591 best=176.591 fresh=True
BEST: 176.591
