epoch	load1	load5	load15	benchmarks
1787301932	8.14	7.83	6.19	0
1787301937	7.81	7.76	6.18	0
1787301942	7.26	7.65	6.15	0
1787301947	6.76	7.54	6.12	0
1787301952	6.46	7.46	6.10	0
1787301957	6.34	7.42	6.10	0
1787301962	7.44	7.63	6.17	2
1787301967	7.32	7.60	6.17	2
1787301972	6.89	7.51	6.15	2
1787301977	6.58	7.44	6.13	2
1787301982	6.21	7.35	6.11	2
1787301988	5.88	7.26	6.09	2
1787301993	5.57	7.17	6.06	2
1787301998	5.44	7.12	6.05	3
1787302003	5.73	7.15	6.07	3
1787302008	5.99	7.18	6.09	3
1787302013	5.67	7.09	6.06	3
1787302018	5.78	7.09	6.07	0
1787302023	5.95	7.11	6.08	0
1787302028	6.28	7.15	6.10	0
1787302033	5.93	7.07	6.08	0
1787302038	6.26	7.12	6.10	0
1787302043	6.08	7.06	6.09	0
1787302048	5.83	7.00	6.07	0
1787302053	6.09	7.03	6.09	0
1787302058	6.08	7.01	6.09	0
1787302063	5.75	6.93	6.07	0
1787302068	5.45	6.85	6.04	0
1787302073	5.25	6.78	6.03	0
1787302078	4.99	6.70	6.01	0
1787302083	4.75	6.63	5.98	0
1787302088	4.53	6.55	5.96	0
1787302093	4.81	6.57	5.97	0
1787302098	5.55	6.70	6.02	0
1787302103	5.74	6.72	6.03	0
1787302108	6.08	6.77	6.05	0
1787302113	6.40	6.83	6.07	0
1787302118	6.61	6.86	6.09	0
1787302123	6.96	6.93	6.11	0
1787302128	7.60	7.07	6.16	0
1787302133	7.88	7.13	6.19	0
1787302138	7.65	7.10	6.18	0
1787302143	7.83	7.14	6.20	0
1787302148	7.45	7.08	6.18	0
1787302153	7.01	6.99	6.16	0
1787302158	7.01	6.99	6.17	0
1787302163	7.09	7.01	6.18	0
1787302168	6.68	6.93	6.15	0
1787302173	6.63	6.91	6.15	0
1787302178	6.26	6.83	6.13	0
1787302183	6.00	6.76	6.11	0
1787302188	5.67	6.68	6.09	0
1787302193	5.38	6.61	6.07	0
1787302198	5.19	6.55	6.05	0
1787302203	5.01	6.49	6.04	0
1787302208	5.41	6.55	6.06	0
1787302213	6.10	6.67	6.10	0
1787302218	6.89	6.83	6.15	0
1787302223	6.58	6.76	6.14	0
1787302228	6.78	6.80	6.15	0
1787302233	7.51	6.95	6.20	0
1787302238	7.63	6.99	6.22	0
1787302243	7.74	7.02	6.24	0
1787302248	7.84	7.05	6.25	0
1787302253	7.30	6.95	6.22	0
1787302258	7.11	6.92	6.22	0
1787302263	6.78	6.85	6.20	0
1787302268	7.52	7.01	6.25	0
1787302273	7.40	6.99	6.25	0
1787302278	7.53	7.02	6.26	0
1787302283	7.97	7.12	6.30	0
1787302288	7.49	7.04	6.28	0
1787302293	7.61	7.07	6.29	0
1787302298	7.32	7.02	6.28	0
1787302303	6.89	6.93	6.26	0
1787302308	7.14	6.99	6.28	0
1787302313	6.73	6.90	6.25	0
1787302318	6.35	6.82	6.23	0
1787302323	7.12	6.97	6.28	0
1787302328	7.28	7.01	6.30	0
1787302333	6.85	6.92	6.27	0
1787302338	7.02	6.96	6.29	0
1787302343	7.18	6.99	6.30	0
1787302348	7.33	7.03	6.32	0
1787302353	7.46	7.06	6.33	0
1787302359	7.59	7.09	6.35	0
1787302364	7.22	7.02	6.33	0
1787302369	7.44	7.07	6.35	0
1787302374	7.17	7.02	6.34	0
1787302379	7.31	7.06	6.35	0
1787302384	7.37	7.07	6.36	0
1787302389	6.94	6.99	6.34	0
1787302394	7.10	7.02	6.35	0
1787302399	7.50	7.10	6.38	0
1787302404	6.98	7.00	6.35	0
1787302409	6.50	6.90	6.32	0
1787302414	6.06	6.80	6.30	0
1787302419	5.89	6.76	6.28	0
1787302424	6.14	6.80	6.30	0
1787302429	5.81	6.72	6.27	0
1787302434	5.98	6.74	6.28	0
1787302439	5.58	6.64	6.25	3
1787302444	5.30	6.56	6.23	3
1787302449	5.67	6.62	6.25	3
1787302454	5.38	6.54	6.23	3
1787302459	5.11	6.47	6.21	3
